Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
'l go l'à dàt de bìf,gli ha dato da bere,<sos> 'l go l'à dàt de bìf <eos>,<sos> gli ha dato da bere <eos>
"a l'è 'gnìt sà ala finèstra, 'l ga dìh:",si è affacciato alla finestra dicendo:,"<sos> a l'è 'gnìt sà ala finèstra , 'l ga dìh <eos>",<sos> si è affacciato alla finestra dicendo <eos>
e l'àśen che 'l fà-å ulà pehadù depertüt,l'asino a dare calci dappertutto,<sos> e l'àśen che 'l fà-å ulà pehadù depertüt <eos>,<sos> l'asino a dare calci dappertutto <eos>
— viva la regina! —,— viva la regina! —,<sos> viva la regina ! <eos>,<sos> viva la regina ! <eos>
"e lé la s'è metida, la töt gió töt",lei si è messa a sparecchiare,"<sos> e lé la s'è metida , la töt gió töt <eos>",<sos> lei si è messa a sparecchiare <eos>
— madóna cóha ga ègnel in mènt a chèl òm lé a fà chi laùr lé? —,"— madonna, cosa salta in mente a quell'uomo di fare queste cose? —",<sos> madóna cóha ga ègnel in mènt a chèl òm lé a fà chi laùr lé ? <eos>,"<sos> madonna , cosa salta in mente a quell'uomo di fare queste cose ? <eos>"
"réma e réma, 'l turna 'ndré","rema e rema, torna indietro","<sos> réma e réma , 'l turna 'ndré <eos>","<sos> rema e rema , torna indietro <eos>"
tùrnå 'ndré!,torna indietro!,<sos> tùrnå 'ndré ! <eos>,<sos> torna indietro ! <eos>
i à fàt i preparativi,han fatto i preparativi,<sos> i à fàt i preparativi <eos>,<sos> han fatto i preparativi <eos>
nigü i gh'à de saé,proprio nessuno sappia,<sos> nigü i gh'à de saé <eos>,<sos> proprio nessuno sappia <eos>
'l chigà-å fò hólc,cagava soldi,<sos> 'l chigà-å fò hólc <eos>,<sos> cagava soldi <eos>
töe fò öna licènsa a' mé,prendo anch'io una licenza,<sos> töe fò öna licènsa a' mé <eos>,<sos> prendo anch'io una licenza <eos>
gn' la tò màmå,né la mamma,<sos> gn' la tò màmå <eos>,<sos> né la mamma <eos>
« che maiàda — 'l dìh — adèh — al dìh — al rìa — 'l dìh —,« che mangiata! adesso arriva,<sos> che maiàda 'l dìh adèh al dìh al rìa 'l dìh <eos>,<sos> che mangiata ! adesso arriva <eos>
perchè l'à dìt che öna contèsa l'è tròp pòca,perché ha detto che contessa è troppo poco,<sos> perchè l'à dìt che öna contèsa l'è tròp pòca <eos>,<sos> perché ha detto che contessa è troppo poco <eos>
— ah perchè l'è lü chèl di cà? —,— ah perché lei è quello dei cani? —,<sos> ah perchè l'è lü chèl di cà ? <eos>,<sos> ah perché lei è quello dei cani ? <eos>
che i fà cünt de mangià,che pensavano di mangiare,<sos> che i fà cünt de mangià <eos>,<sos> che pensavano di mangiare <eos>
— nò nò — la dìs —,— no no,<sos> nò nò la dìs <eos>,<sos> no no <eos>
ma lé,ma quella,<sos> ma lé <eos>,<sos> ma quella <eos>
e pò,poi,<sos> e pò <eos>,<sos> poi <eos>
e 'l sò papà,e il padre,<sos> e 'l sò papà <eos>,<sos> e il padre <eos>
— cóme mài he 'l ma parla?,"— come mai, se mi parli?",<sos> cóme mài he 'l ma parla ? <eos>,"<sos> come mai , se mi parli ? <eos>"
te di-èntet ö sciòr té,diventerai ricco,<sos> te di-èntet ö sciòr té <eos>,<sos> diventerai ricco <eos>
— béh,— beh,<sos> béh <eos>,<sos> beh <eos>
'l serpént ål gh'è piå de nigüne li bande,il serpente non si trova da nessuna parte,<sos> 'l serpént ål gh'è piå de nigüne li bande <eos>,<sos> il serpente non si trova da nessuna parte <eos>
basta che té ta ma lahet endà —,basta che tu mi lasci andare,<sos> basta che té ta ma lahet endà <eos>,<sos> basta che tu mi lasci andare <eos>
gh' avrèh biśògn de té per halvàm,avrei bisogno di te per salvarmi,<sos> gh' avrèh biśògn de té per halvàm <eos>,<sos> avrei bisogno di te per salvarmi <eos>
dòpo de póch dé,pochi giorni dopo,<sos> dòpo de póch dé <eos>,<sos> pochi giorni dopo <eos>
amò i fà: — tira con fòrsa,sente di nuovo: — tira con forza,<sos> amò i fà tira con fòrsa <eos>,<sos> sente di nuovo tira con forza <eos>
e i m'à lagàt lé de fàt de fàt,e mi han lasciate a becco asciutto,<sos> e i m'à lagàt lé de fàt de fàt <eos>,<sos> e mi han lasciate a becco asciutto <eos>
l'è leàdå sö,appena alzata,<sos> l'è leàdå sö <eos>,<sos> appena alzata <eos>
— 'ndo 'ndét compàr gàl,— dove vai compare gallo,<sos> 'ndo 'ndét compàr gàl <eos>,<sos> dove vai compare gallo <eos>
gliò,là,<sos> gliò <eos>,<sos> là <eos>
che 'l hegötà-a a fà 'ndà 'l có,che continuava a muovere la testa,<sos> che 'l hegötà-a a fà 'ndà 'l có <eos>,<sos> che continuava a muovere la testa <eos>
e gliùrå,allora,<sos> e gliùrå <eos>,<sos> allora <eos>
té e pà a' la tò surèlå —,tu e tua sorella —,<sos> té e pà a' la tò surèlå <eos>,<sos> tu e tua sorella <eos>
che l'è 'gnìt en sö cantando,camminava cantando,<sos> che l'è 'gnìt en sö cantando <eos>,<sos> camminava cantando <eos>
e cól sànch egnìt fò de 'sto dìt al gh'à fàt fà la firma,e col sangue ha messo la firma,<sos> e cól sànch egnìt fò de 'sto dìt al gh'à fàt fà la firma <eos>,<sos> e col sangue ha messo la firma <eos>
ö mìh,un mese,<sos> ö mìh <eos>,<sos> un mese <eos>
— la dìs —,dice,<sos> la dìs <eos>,<sos> dice <eos>
la l'à purtàt on càmerå,l'ha messo in camera,<sos> la l'à purtàt on càmerå <eos>,<sos> l'ha messo in camera <eos>
gh'è stàt mìå de tégnel,non c'è stato verso di trattenerlo,<sos> gh'è stàt mìå de tégnel <eos>,<sos> non c'è stato verso di trattenerlo <eos>
— sé perché,"— sì, perché",<sos> sé perché <eos>,"<sos> sì , perché <eos>"
l'è turnàt a cà,è tornato a casa,<sos> l'è turnàt a cà <eos>,<sos> è tornato a casa <eos>
i mürìå mìå de fàm,non morivano di fame,<sos> i mürìå mìå de fàm <eos>,<sos> non morivano di fame <eos>
dumàndå,a domandare,<sos> dumàndå <eos>,<sos> a domandare <eos>
che se 'l me sücét gna' ergóta,così se mi succede qualcosa,<sos> che se 'l me sücét gna' ergóta <eos>,<sos> così se mi succede qualcosa <eos>
e gliò la viàśgiå,e lei è partita,<sos> e gliò la viàśgiå <eos>,<sos> e lei è partita <eos>
"che i è tüc pu-arì, i ne crómpå mìå de picinì","son tutti poveri, non comprano dei bambini piccoli","<sos> che i è tüc pu-arì , i ne crómpå mìå de picinì <eos>","<sos> son tutti poveri , non comprano dei bambini piccoli <eos>"
e chèl che te ö,e quello che vuoi,<sos> e chèl che te ö <eos>,<sos> e quello che vuoi <eos>
bèl cumpàgn d'ö fiùr,bello come un fiore,<sos> bèl cumpàgn d'ö fiùr <eos>,<sos> bello come un fiore <eos>
che quàndo i nà-a fò lùr i simà-a hö in stansa,che quando loro fossero saliti nella stanza,<sos> che quàndo i nà-a fò lùr i simà-a hö in stansa <eos>,<sos> che quando loro fossero saliti nella stanza <eos>
'n dol puntiśì,dal ponticello,<sos> 'n dol puntiśì <eos>,<sos> dal ponticello <eos>
ossè i à fàt,così hanno fatto,<sos> ossè i à fàt <eos>,<sos> così hanno fatto <eos>
cìamàt,avevano chiamato,<sos> cìamàt <eos>,<sos> avevano chiamato <eos>
pò i à 'mpi-àt sö 'l föch,poi hanno acceso il fuoco,<sos> pò i à 'mpi-àt sö 'l föch <eos>,<sos> poi hanno acceso il fuoco <eos>
con giöna hcödèla,con una scodella,<sos> con giöna hcödèla <eos>,<sos> con una scodella <eos>
la dèrf fò hta bórsa,apre la borsa,<sos> la dèrf fò hta bórsa <eos>,<sos> apre la borsa <eos>
pensà-å pròpe che l'érå nòså,e pensava proprio che il palazzo fosse nostro,<sos> pensà-å pròpe che l'érå nòså <eos>,<sos> e pensava proprio che il palazzo fosse nostro <eos>
ala fèsta anche nóter e... —,anche noi —,<sos> ala fèsta anche nóter e . . . <eos>,<sos> anche noi <eos>
fina che,finché,<sos> fina che <eos>,<sos> finché <eos>
con dù s-cetì... »,e con due figli... »,<sos> con dù s-cetì . . . <eos>,<sos> e con due figli . . . <eos>
e lü 'l ha mèt idré èh:,si è messo a gridare:,<sos> e lü 'l ha mèt idré èh <eos>,<sos> si è messo a gridare <eos>
la sérå,alla sera,<sos> la sérå <eos>,<sos> alla sera <eos>
— a l'è 'mpusìbel!, — impossibile!,<sos> a l'è 'mpusìbel ! <eos>,<sos> impossibile ! <eos>
e la ga dìs: — cóme mài mama? te ma hömè-et sèmper lé pianśoléta,le ha detto: — come mai mamma piangi sempre?,<sos> e la ga dìs cóme mài mama ? te ma hömè-et sèmper lé pianśoléta <eos>,<sos> le ha detto come mai mamma piangi sempre ? <eos>
'l va là 'l Signùr,va il Signore /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ,<sos> 'l va là 'l signùr <eos>,<sos> va il signore <eos>
'l gh'éå l'asnì,aveva l'asinello,<sos> 'l gh'éå l'asnì <eos>,<sos> aveva l'asinello <eos>
e l'è pahàt hótå,è passato sotto,<sos> e l'è pahàt hótå <eos>,<sos> è passato sotto <eos>
ma fà amò cumpàgn che t'é fàt li ótre ólte,ma tu fai ancora come le altre volte,<sos> ma fà amò cumpàgn che t'é fàt li ótre ólte <eos>,<sos> ma tu fai ancora come le altre volte <eos>
— nèta fò bé töt,— pulisci bene tutto,<sos> nèta fò bé töt <eos>,<sos> pulisci bene tutto <eos>
pò i và d'dét tüc en de 'sta cà,entrano in questa casa,<sos> pò i và d'dét tüc en de 'sta cà <eos>,<sos> entrano in questa casa <eos>
pòtå,pota,<sos> pòtå <eos>,<sos> pota <eos>
'm fà mìa frecàh,non faremo fracasso,<sos> 'm fà mìa frecàh <eos>,<sos> non faremo fracasso <eos>
gh'è ün eremìtå,c'è un eremita,<sos> gh'è ün eremìtå <eos>,<sos> c'è un eremita <eos>
quàndo che l'érå,quando è stato,<sos> quàndo che l'érå <eos>,<sos> quando è stato <eos>
dò o tré,due o tre,<sos> dò o tré <eos>,<sos> due o tre <eos>
se te èdet che 'l curtèl ål sanguìnå,se vedi che il coltello sanguina,<sos> se te èdet che 'l curtèl ål sanguìnå <eos>,<sos> se vedi che il coltello sanguina <eos>
i gh'à mìå credìt lùr,loro non gli hanno dato retta,<sos> i gh'à mìå credìt lùr <eos>,<sos> loro non gli hanno dato retta <eos>
e lü 'l préit ål gi à dìt essè:,il parroco gli ha detto:,<sos> e lü 'l préit ål gi à dìt essè <eos>,<sos> il parroco gli ha detto <eos>
che 'l 'gnrà töc a' i óter! —,che verranno anche tutti gli altri! —,<sos> che 'l 'gnrà töc a' i óter ! <eos>,<sos> che verranno anche tutti gli altri ! <eos>
per turnà 'ndré,per tornare indietro,<sos> per turnà 'ndré <eos>,<sos> per tornare indietro <eos>
e hercà de laurà 'n quàch paìs —,a cercare lavoro in qualche paese —,<sos> e hercà de laurà 'n quàch paìs <eos>,<sos> a cercare lavoro in qualche paese <eos>
'm gh' l'à dìt de tö hö chèl biànch!,gli abbiamo detto di prendere quello bianco!,<sos> 'm gh' l'à dìt de tö hö chèl biànch ! <eos>,<sos> gli abbiamo detto di prendere quello bianco ! <eos>
lü 'l ge ciapà-å,lui li prendeva,<sos> lü 'l ge ciapà-å <eos>,<sos> lui li prendeva <eos>
biśògnå portàlå jà,bisogna portarla via,<sos> biśògnå portàlå jà <eos>,<sos> bisogna portarla via <eos>
— dìm anómå 'ndo gh'ó de scóndes,— dimmi almeno dove devo nascondermi,<sos> dìm anómå 'ndo gh'ó de scóndes <eos>,<sos> dimmi almeno dove devo nascondermi <eos>
ö gàt,un gatto,<sos> ö gàt <eos>,<sos> un gatto <eos>
cóme éra prima,come prima,<sos> cóme éra prima <eos>,<sos> come prima <eos>
"e mé, 'ndó de l'ótra",e io da quell'altra,"<sos> e mé , 'ndó de l'ótra <eos>",<sos> e io da quell'altra <eos>
'm punì de minèstrå,un po' di minestra,<sos> 'm punì de minèstrå <eos>,<sos> un po' di minestra <eos>
cóme lùr i è 'gnìt vià dèla muntàgnå,come loro se ne sono venuti via,<sos> cóme lùr i è 'gnìt vià dèla muntàgnå <eos>,<sos> come loro se ne sono venuti via <eos>
« Paulì,« Paolino,<sos> paulì <eos>,<sos> paolino <eos>
e dru-à i laùr,ad adoperare queste cose,<sos> e dru-à i laùr <eos>,<sos> ad adoperare queste cose <eos>
pènse mé con Rośalba,penso io a Rosalba,<sos> pènse mé con rośalba <eos>,<sos> penso io a rosalba <eos>
— mé — 'l dìs —,— io,<sos> mé 'l dìs <eos>,<sos> io <eos>
lé la gh'à regalàt tüt chèl che la gh'éå,a lei la strega ha regalato tutto quello che aveva,<sos> lé la gh'à regalàt tüt chèl che la gh'éå <eos>,<sos> a lei la strega ha regalato tutto quello che aveva <eos>
difati 'ssè l'à fàt,così ha fatto,<sos> difati 'ssè l'à fàt <eos>,<sos> così ha fatto <eos>
— òs-ce!,ostrega!,<sos> òs-ce ! <eos>,<sos> ostrega ! <eos>
de heràlå fò 'l l'à tödå hö e spale,"di chiuderla, l'ha messa in spalla",<sos> de heràlå fò 'l l'à tödå hö e spale <eos>,"<sos> di chiuderla , l'ha messa in spalla <eos>"
ala śét che gh'éra lé:,alla gente:,<sos> ala śét che gh'éra lé <eos>,<sos> alla gente <eos>
macinàt déter on dol mulì,macinati,<sos> macinàt déter on dol mulì <eos>,<sos> macinati <eos>
la l'à mìa urìt,lei non l'ha voluto,<sos> la l'à mìa urìt <eos>,<sos> lei non l'ha voluto <eos>
cóme mài hét ché? —,come mai sei qui? —,<sos> cóme mài hét ché ? <eos>,<sos> come mai sei qui ? <eos>
— biśògna dìgå che 'l vàe a tö 'l canarì-che-pàrlå,— bisogna dirgli di andare a prendere il canarino-che-parla,<sos> biśògna dìgå che 'l vàe a tö 'l canarì-che-pàrlå <eos>,<sos> bisogna dirgli di andare a prendere il canarino-che-parla <eos>
e dòpo óter i gh'à dàt de mangià e 'ssè,gli ha dato da mangiare,<sos> e dòpo óter i gh'à dàt de mangià e 'ssè <eos>,<sos> gli ha dato da mangiare <eos>
pò la pàhå,poi è andata oltre,<sos> pò la pàhå <eos>,<sos> poi è andata oltre <eos>
i 'ncuntra ö cà,incontrano un cane,<sos> i 'ncuntra ö cà <eos>,<sos> incontrano un cane <eos>
laghé 'gnì gió la muntàgnå,lasciate cadere la montagna,<sos> laghé 'gnì gió la muntàgnå <eos>,<sos> lasciate cadere la montagna <eos>
e gliùrå,e allora,<sos> e gliùrå <eos>,<sos> e allora <eos>
— tàches ala cù-a,— attaccati alla coda,<sos> tàches ala cù-a <eos>,<sos> attaccati alla coda <eos>
la hét mìa lé! —,che lei non sentirà! —,<sos> la hét mìa lé ! <eos>,<sos> che lei non sentirà ! <eos>
l'è 'ndàdå e 'nvidài,è andata a invitarli,<sos> l'è 'ndàdå e 'nvidài <eos>,<sos> è andata a invitarli <eos>
i à metìt fò 'l sò canarì,hanno messo il canarino,<sos> i à metìt fò 'l sò canarì <eos>,<sos> hanno messo il canarino <eos>
sét chèl che 'm fà?,sai che facciamo?,<sos> sét chèl che 'm fà ? <eos>,<sos> sai che facciamo ? <eos>
l'à fàt ü bèl büśilì,ha fatto ancora un bel buchetta,<sos> l'à fàt ü bèl büśilì <eos>,<sos> ha fatto ancora un bel buchetta <eos>
i érå pò,ed erano,<sos> i érå pò <eos>,<sos> ed erano <eos>
"l'à mangiàt argótå, pò l'è 'ndàt en dul lèt","ha mangiato qualcosa, poi è andato a letto","<sos> l'à mangiàt argótå , pò l'è 'ndàt en dul lèt <eos>","<sos> ha mangiato qualcosa , poi è andato a letto <eos>"
e 'l s'è prefondàt,ed è affondato,<sos> e 'l s'è prefondàt <eos>,<sos> ed è affondato <eos>
'm vé mìå stasérå,non verremo questa sera,<sos> 'm vé mìå stasérå <eos>,<sos> non verremo questa sera <eos>
öi 'ndà hö mé! »,io voglio regnare! »,<sos> öi 'ndà hö mé ! <eos>,<sos> io voglio regnare ! <eos>
he pöde ciapà ö michèt — al dìh — alméno — 'l dìh — fé laùre — 'l dìh —,per poter almeno prendere un pane e lavoro,<sos> he pöde ciapà ö michèt al dìh alméno 'l dìh fé laùre 'l dìh <eos>,<sos> per poter almeno prendere un pane e lavoro <eos>
— cóme mài?,— come mai?,<sos> cóme mài ? <eos>,<sos> come mai ? <eos>
le la egiahina la h'è fermada ö momènt,la vecchietta ha aspettato un momento,<sos> le la egiahina la h'è fermada ö momènt <eos>,<sos> la vecchietta ha aspettato un momento <eos>
'ndo él ol mé tata?,dov'è mio padre?,<sos> 'ndo él ol mé tata ? <eos>,<sos> dov'è mio padre ? <eos>
nel bósch,nel bosco,<sos> nel bósch <eos>,<sos> nel bosco <eos>
fà chè?,fare cosa?,<sos> fà chè ? <eos>,<sos> fare cosa ? <eos>
gliùrå lü l'à hàc parì de burlà jó,allora lui ha fatto finta di cadere,<sos> gliùrå lü l'à hàc parì de burlà jó <eos>,<sos> allora lui ha fatto finta di cadere <eos>
piö nagót,più niente,<sos> piö nagót <eos>,<sos> più niente <eos>
im banda ala strada,a lato della strada,<sos> im banda ala strada <eos>,<sos> a lato della strada <eos>
chèl ca ó dit mé l'è negótå,quello che ho detto non è niente,<sos> chèl ca ó dit mé l'è negótå <eos>,<sos> quello che ho detto non è niente <eos>
— pòta gh'è pahàt de ché dù òmegn,— sono passati due uomini,<sos> pòta gh'è pahàt de ché dù òmegn <eos>,<sos> sono passati due uomini <eos>
"— ma nò scùltå, và mìå! —","— ma no, ascolta, non andare! —","<sos> ma nò scùltå , và mìå ! <eos>","<sos> ma no , ascolta , non andare ! <eos>"
e i gh'éra 'l formét che bisognà-a teàl sö,e dovevano tagliare il frumento,<sos> e i gh'éra 'l formét che bisognà-a teàl sö <eos>,<sos> e dovevano tagliare il frumento <eos>
— io sóno quèllo scarpolino,— io sono quel ciabattino,<sos> io sóno quèllo scarpolino <eos>,<sos> io sono quel ciabattino <eos>
i ghe purtà-å de mangià,portava loro da mangiare,<sos> i ghe purtà-å de mangià <eos>,<sos> portava loro da mangiare <eos>
e lü l'à dìt: — nò nò,— no,<sos> e lü l'à dìt nò nò <eos>,<sos> no <eos>
cóha farói mé?,cosa farò?,<sos> cóha farói mé ? <eos>,<sos> cosa farò ? <eos>
per fàs mangià,e poi farsi mangiare,<sos> per fàs mangià <eos>,<sos> e poi farsi mangiare <eos>
lü l'è 'ndàt de déter,lui è entrato,<sos> lü l'è 'ndàt de déter <eos>,<sos> lui è entrato <eos>
e lü 'l ghe dìs:,quello gli dice:,<sos> e lü 'l ghe dìs <eos>,<sos> quello gli dice <eos>
"gh'è hö gnè' bórsa, gnè' ór, gnè' arśènt hö 'n chèla barca","né borsa, né oro, né argento","<sos> gh'è hö gnè' bórsa , gnè' ór , gnè' arśènt hö 'n chèla barca <eos>","<sos> né borsa , né oro , né argento <eos>"
che gliùrå gh'è ü mistéro,allora è un mistero,<sos> che gliùrå gh'è ü mistéro <eos>,<sos> allora è un mistero <eos>
sö 'n cantina,in cantina,<sos> sö 'n cantina <eos>,<sos> in cantina <eos>
gh'ó gna' télå,né tela,<sos> gh'ó gna' télå <eos>,<sos> né tela <eos>
só sügürå che adès,sono sicura che,<sos> só sügürå che adès <eos>,<sos> sono sicura che <eos>
l'è 'ndàt,è andato,<sos> l'è 'ndàt <eos>,<sos> è andato <eos>
e lü chèl òm lé pelàt,e quell'uomo pelato,<sos> e lü chèl òm lé pelàt <eos>,<sos> e quell'uomo pelato <eos>
e lü l'éra tàt öspért e tàt brào,e lui era tanto esperto e tanto bravo,<sos> e lü l'éra tàt öspért e tàt brào <eos>,<sos> e lui era tanto esperto e tanto bravo <eos>
